card_id,total_txn,fraud_txn,fraud_rate,avg_amount,card4,card6
10048-543.0-150.0,3,0,0.0,94.67,mastercard,debit
10049-555.0-150.0,59,0,0.0,114.3,visa,debit
1005-543.0-150.0,1,0,0.0,50.0,mastercard,debit
10051-399.0-150.0,11,0,0.0,124.55,american express,credit
10052-555.0-150.0,32,0,0.0,100.38,mastercard,debit
10053-512.0-150.0,17,0,0.0,179.0,mastercard,debit
10054-289.0-185.0,79,44,0.556962,52.65,visa,credit
10056-555.0-150.0,5,0,0.0,595.38,visa,credit
10057-225.0-150.0,3163,122,0.038571,120.28,mastercard,debit
10057-NA-NA,3,0,0.0,45.3,,
10058-490.0-150.0,2,0,0.0,188.25,mastercard,credit
1006-399.0-150.0,3,0,0.0,133.33,american express,credit
10063-555.0-150.0,53,0,0.0,163.54,visa,debit
10065-294.0-150.0,81,1,0.012346,145.81,mastercard,debit
10066-NA-150.0,2,0,0.0,65.75,visa,debit
10067-555.0-150.0,4,0,0.0,65.74,visa,debit
10068-555.0-160.0,1,1,1.0,106.0,visa,debit
10069-436.0-150.0,14,1,0.071429,116.14,visa,credit
1007-555.0-135.0,2,0,0.0,39.18,mastercard,credit
10071-555.0-150.0,1,0,0.0,100.0,visa,debit
10072-567.0-150.0,3,0,0.0,100.0,visa,credit
10073-310.0-150.0,7,0,0.0,107.9,mastercard,debit
10075-514.0-150.0,303,1,0.0033,112.16,mastercard,debit
10075-NA-NA,2,0,0.0,48.97,,
10076-555.0-150.0,1,0,0.0,774.0,mastercard,debit
10077-555.0-150.0,1,0,0.0,49.0,visa,credit
10078-335.0-150.0,13,0,0.0,78.17,visa,credit
10079-225.0-150.0,3,0,0.0,684.97,mastercard,credit
1008-555.0-150.0,3,0,0.0,60.82,visa,debit
10080-417.0-150.0,12,0,0.0,307.04,visa,debit
10080-NA-NA,2,0,0.0,171.0,,
10082-555.0-150.0,13,0,0.0,142.46,visa,debit
10083-555.0-150.0,19,0,0.0,217.58,mastercard,debit
10084-343.0-150.0,4,0,0.0,396.5,visa,credit
10085-512.0-150.0,1,0,0.0,26.95,mastercard,debit
10086-500.0-185.0,440,93,0.211364,50.45,mastercard,credit
10086-NA-NA,1,0,0.0,44.11,,
10087-555.0-223.0,3,2,0.666667,166.67,visa,credit
1009-399.0-150.0,5,0,0.0,130.0,american express,credit
10091-554.0-150.0,1,0,0.0,82.95,mastercard,debit
10094-NA-150.0,45,0,0.0,102.51,visa,debit
10095-225.0-150.0,2,0,0.0,35.0,mastercard,debit
10096-111.0-150.0,6,0,0.0,472.8,mastercard,credit
10097-399.0-150.0,3,0,0.0,83.33,american express,credit
1010-555.0-121.0,1,0,0.0,277.93,visa,credit
10100-501.0-150.0,1,0,0.0,554.0,visa,debit
10101-381.0-150.0,3,3,1.0,50.0,visa,debit
10102-172.0-150.0,17,0,0.0,121.33,visa,credit
10103-321.0-150.0,11,0,0.0,101.01,visa,debit
10104-390.0-150.0,128,2,0.015625,127.14,mastercard,debit
10104-NA-NA,1,0,0.0,117.0,,
10106-555.0-150.0,30,0,0.0,61.61,visa,debit
10107-225.0-150.0,48,0,0.0,262.94,mastercard,debit
10108-555.0-150.0,9,0,0.0,345.66,visa,debit
1011-543.0-150.0,2,0,0.0,71.0,mastercard,debit
10110-555.0-182.0,1,0,0.0,35.35,visa,credit
10111-275.0-150.0,7,0,0.0,121.81,mastercard,debit
10112-360.0-150.0,3546,34,0.009588,107.8,visa,debit
10112-NA-NA,14,1,0.071429,111.59,,
10113-369.0-150.0,105,0,0.0,140.26,mastercard,debit
10114-302.0-150.0,15,0,0.0,109.4,visa,debit
10117-399.0-150.0,6,1,0.166667,75.0,american express,credit
10119-555.0-150.0,9,0,0.0,247.16,visa,debit
1012-479.0-150.0,8,0,0.0,279.61,visa,credit
10120-480.0-150.0,12,0,0.0,68.33,mastercard,debit
10120-512.0-150.0,12,0,0.0,128.49,mastercard,debit
10121-555.0-197.0,1,0,0.0,11.48,mastercard,credit
10122-568.0-150.0,17,0,0.0,99.47,visa,debit
10123-532.0-150.0,41,4,0.097561,125.89,mastercard,debit
10127-399.0-150.0,12,0,0.0,92.08,american express,credit
10128-399.0-150.0,1,0,0.0,25.0,american express,credit
1013-555.0-150.0,11,0,0.0,89.34,visa,debit
10131-555.0-150.0,7,0,0.0,45.5,visa,debit
10132-321.0-150.0,1,0,0.0,83.0,visa,debit
10133-555.0-150.0,5,0,0.0,140.57,visa,debit
10134-555.0-150.0,10,0,0.0,118.43,visa,debit
10135-555.0-150.0,30,0,0.0,123.54,visa,debit
10135-NA-NA,1,0,0.0,117.0,,
10136-555.0-150.0,2,0,0.0,71.45,visa,debit
10137-555.0-150.0,2,0,0.0,128.48,visa,debit
10138-555.0-148.0,7,0,0.0,60.93,mastercard,credit
1014-555.0-117.0,2,0,0.0,31.79,visa,debit
10140-555.0-150.0,1,0,0.0,746.22,visa,credit
10141-555.0-150.0,1,0,0.0,141.0,visa,credit
10142-386.0-150.0,82,0,0.0,155.85,visa,debit
10144-176.0-185.0,12,0,0.0,21.13,mastercard,credit
10145-490.0-150.0,23,2,0.086957,339.24,mastercard,credit
10146-580.0-106.0,7,0,0.0,39.03,visa,debit
10147-410.0-150.0,9,0,0.0,250.11,visa,credit
10148-575.0-150.0,7,0,0.0,78.54,mastercard,debit
10149-555.0-150.0,2,0,0.0,117.0,visa,debit
1015-555.0-144.0,8,1,0.125,92.69,mastercard,credit
10150-480.0-150.0,5,0,0.0,39.96,mastercard,debit
10150-512.0-150.0,7,0,0.0,70.6,mastercard,debit
10151-555.0-150.0,6,0,0.0,90.29,visa,debit
10152-555.0-150.0,5,0,0.0,58.98,visa,debit
10153-532.0-150.0,3,0,0.0,418.96,mastercard,debit
10154-555.0-150.0,8,0,0.0,71.09,visa,debit
10155-225.0-150.0,40,0,0.0,170.52,mastercard,debit
10155-NA-NA,2,0,0.0,140.0,,
10156-143.0-150.0,2,0,0.0,75.96,visa,debit
10157-555.0-150.0,4,0,0.0,87.0,visa,debit
10159-517.0-150.0,26,0,0.0,163.93,mastercard,debit
1016-555.0-150.0,14,1,0.071429,172.99,visa,debit
10162-480.0-150.0,15,0,0.0,229.46,mastercard,debit
10162-512.0-150.0,34,0,0.0,131.63,mastercard,debit
10163-489.0-150.0,2,0,0.0,40.0,mastercard,credit
10164-555.0-150.0,8,0,0.0,93.08,mastercard,credit
10165-562.0-150.0,68,2,0.029412,247.88,mastercard,credit
10166-555.0-150.0,3,0,0.0,114.17,visa,debit
10167-555.0-141.0,3,0,0.0,21.26,mastercard,debit
10168-399.0-150.0,7,0,0.0,107.14,american express,credit
10169-480.0-150.0,3,0,0.0,139.33,mastercard,debit
10169-512.0-150.0,2,0,0.0,34.0,mastercard,debit
10170-555.0-150.0,1,0,0.0,25.0,,debit
10171-555.0-150.0,4,0,0.0,64.99,visa,debit
10172-555.0-150.0,3,0,0.0,25.67,visa,debit
10173-589.0-150.0,2,0,0.0,57.95,visa,debit
10175-176.0-185.0,72,45,0.625,48.95,visa,debit
10176-555.0-185.0,6,0,0.0,18.85,mastercard,debit
10177-555.0-150.0,32,0,0.0,103.37,visa,debit
10179-555.0-150.0,55,0,0.0,130.25,visa,debit
1018-555.0-212.0,3,0,0.0,159.84,visa,credit
10180-553.0-150.0,11,0,0.0,155.45,american express,credit
10181-555.0-150.0,3,1,0.333333,175.47,visa,debit
10182-555.0-119.0,5,0,0.0,19.65,visa,credit
10183-555.0-150.0,1,0,0.0,77.0,visa,debit
10184-555.0-131.0,1,0,0.0,26.58,mastercard,credit
10185-NA-150.0,12,0,0.0,196.03,visa,debit
10186-417.0-150.0,440,19,0.043182,112.1,visa,debit
10186-NA-NA,1,0,0.0,25.95,,
10187-399.0-150.0,1,0,0.0,100.0,american express,credit
10188-567.0-150.0,40,2,0.05,462.72,mastercard,credit
10190-225.0-150.0,7,0,0.0,45.61,mastercard,debit
10191-555.0-150.0,1,0,0.0,161.0,visa,debit
10192-555.0-150.0,8,0,0.0,317.59,visa,debit
10193-169.0-150.0,3,0,0.0,64.33,visa,debit
10196-555.0-152.0,3,0,0.0,43.62,visa,debit
10197-343.0-150.0,6,0,0.0,78.64,visa,credit
10199-418.0-150.0,32,0,0.0,179.67,visa,debit
1020-390.0-150.0,1,0,0.0,34.5,mastercard,debit
10200-555.0-150.0,1,0,0.0,226.0,visa,credit
10201-302.0-150.0,5,0,0.0,134.15,visa,debit
10202-555.0-150.0,1,0,0.0,77.0,visa,debit
10203-396.0-150.0,1,0,0.0,400.0,mastercard,credit
10204-555.0-150.0,2,0,0.0,69.5,visa,credit
10205-555.0-150.0,1,0,0.0,146.0,visa,credit
10206-225.0-150.0,1,0,0.0,16.5,mastercard,debit
10207-555.0-150.0,3,0,0.0,125.32,visa,debit
10209-399.0-150.0,10,0,0.0,232.0,american express,credit
1021-555.0-150.0,7,0,0.0,85.12,visa,debit
10210-279.0-150.0,81,1,0.012346,105.32,visa,debit
10212-214.0-150.0,2,0,0.0,27.48,visa,debit
10213-399.0-150.0,4,0,0.0,356.25,american express,credit
10214-497.0-150.0,2,0,0.0,557.95,visa,debit
10215-555.0-210.0,1,0,0.0,52.35,visa,debit
10216-555.0-150.0,3,0,0.0,117.0,visa,debit
10218-555.0-150.0,1,0,0.0,200.0,visa,debit
10219-321.0-150.0,1,0,0.0,30.0,visa,debit
1022-479.0-150.0,8,1,0.125,403.37,visa,credit
10220-555.0-117.0,5,2,0.4,145.0,american express,debit
10221-516.0-150.0,1,0,0.0,171.0,mastercard,debit
10222-225.0-150.0,15,0,0.0,96.35,mastercard,debit
10223-543.0-150.0,1,0,0.0,29.0,mastercard,debit
10224-151.0-150.0,7,0,0.0,146.96,visa,debit
10225-555.0-150.0,13,2,0.153846,140.38,american express,credit
10226-517.0-150.0,1,0,0.0,117.0,mastercard,debit
10227-NA-150.0,1,0,0.0,100.0,visa,credit
10228-138.0-200.0,1,0,0.0,9.79,mastercard,credit
10229-276.0-150.0,17,5,0.294118,128.19,visa,credit
1023-111.0-150.0,3,0,0.0,234.32,visa,debit
10230-NA-150.0,41,0,0.0,194.03,visa,debit
10231-225.0-150.0,1,0,0.0,87.0,mastercard,debit
10232-555.0-200.0,2,0,0.0,60.61,mastercard,credit
10233-555.0-150.0,1,0,0.0,200.0,visa,credit
10234-555.0-150.0,18,0,0.0,89.19,visa,debit
10235-353.0-150.0,18,0,0.0,80.86,mastercard,debit
10236-321.0-150.0,15,2,0.133333,85.09,visa,debit
10238-225.0-150.0,3,0,0.0,34.33,mastercard,debit
10239-555.0-150.0,28,8,0.285714,102.94,visa,debit
1024-NA-150.0,1,0,0.0,117.0,visa,credit
10240-555.0-150.0,36,0,0.0,76.18,visa,debit
10240-NA-NA,1,0,0.0,107.95,,
10241-512.0-150.0,7,0,0.0,78.66,mastercard,debit
10242-399.0-150.0,8,0,0.0,118.75,american express,credit
10244-555.0-150.0,26,0,0.0,62.41,visa,debit
10245-555.0-150.0,9,0,0.0,144.49,visa,debit
10246-555.0-150.0,31,0,0.0,62.73,visa,debit
10247-580.0-106.0,4,0,0.0,63.87,visa,debit
10248-557.0-150.0,1,0,0.0,150.0,visa,credit
10249-555.0-150.0,4,0,0.0,73.0,visa,debit
10250-512.0-150.0,1,0,0.0,100.0,mastercard,debit
10251-555.0-150.0,13,0,0.0,115.76,visa,debit
10252-555.0-150.0,18,0,0.0,159.38,visa,debit
10254-360.0-150.0,12,0,0.0,144.21,visa,debit
10255-NA-150.0,3,0,0.0,582.55,visa,credit
10256-555.0-102.0,1,0,0.0,51.89,visa,debit
10258-321.0-150.0,49,0,0.0,86.76,visa,debit
10259-555.0-150.0,3,0,0.0,44.3,visa,debit
10259-NA-NA,1,0,0.0,59.0,,
1026-554.0-150.0,1,0,0.0,226.0,visa,debit
10260-338.0-150.0,25,0,0.0,176.07,visa,credit
10262-111.0-150.0,29,3,0.103448,295.66,visa,debit
10265-555.0-150.0,7,0,0.0,50.67,visa,debit
10267-476.0-150.0,43,0,0.0,94.53,visa,debit
10267-555.0-150.0,34,0,0.0,78.17,visa,debit
10269-555.0-150.0,11,0,0.0,95.32,visa,debit
1027-555.0-148.0,15,0,0.0,48.76,visa,credit
10270-275.0-150.0,12,0,0.0,75.32,mastercard,debit
10271-399.0-150.0,4,0,0.0,181.25,american express,credit
10272-543.0-150.0,2,0,0.0,57.95,mastercard,debit
10273-583.0-150.0,9,0,0.0,432.44,visa,credit
10274-555.0-119.0,1,0,0.0,20.18,mastercard,credit
10275-555.0-150.0,1,0,0.0,100.0,visa,credit
10276-399.0-150.0,16,0,0.0,185.94,american express,credit
10277-555.0-150.0,1,0,0.0,100.0,visa,debit
10278-555.0-150.0,1,0,0.0,289.48,visa,credit
1028-543.0-150.0,37,0,0.0,163.96,mastercard,debit
10280-275.0-150.0,3,0,0.0,326.92,mastercard,debit
10281-111.0-150.0,1,0,0.0,445.0,visa,debit
10282-399.0-150.0,16,0,0.0,64.38,american express,credit
10283-555.0-223.0,1,1,1.0,200.0,visa,credit
10284-390.0-150.0,1,0,0.0,226.0,mastercard,debit
10285-224.0-106.0,5,0,0.0,59.43,mastercard,credit
10286-420.0-150.0,1,0,0.0,117.0,mastercard,credit
10288-555.0-150.0,1,0,0.0,20.0,visa,debit
10289-399.0-150.0,6,1,0.166667,108.33,american express,credit
1029-555.0-199.0,1,0,0.0,50.0,american express,credit
10290-512.0-150.0,1,0,0.0,57.95,mastercard,debit
10291-399.0-150.0,8,0,0.0,117.5,american express,credit
10292-583.0-150.0,11,0,0.0,406.82,visa,credit
10293-555.0-222.0,1,0,0.0,17.83,mastercard,debit
10294-555.0-150.0,2,0,0.0,237.5,visa,debit
10295-203.0-150.0,2,0,0.0,131.5,visa,debit
10296-578.0-150.0,1,0,0.0,250.0,visa,credit
10297-399.0-150.0,8,0,0.0,156.25,american express,credit
10298-555.0-150.0,1,0,0.0,1151.81,visa,debit
1030-157.0-150.0,122,1,0.008197,103.44,visa,debit
1030-NA-NA,1,0,0.0,112.99,,
10301-399.0-150.0,7,0,0.0,142.86,american express,credit
10303-543.0-150.0,16,0,0.0,97.19,mastercard,debit
10304-555.0-150.0,5,0,0.0,139.36,visa,debit
10305-420.0-150.0,2,0,0.0,293.9,mastercard,debit
10306-NA-150.0,1,0,0.0,50.0,visa,debit
10308-321.0-150.0,3,0,0.0,54.97,visa,debit
10309-555.0-150.0,6,0,0.0,109.67,visa,debit
10309-NA-NA,3,0,0.0,171.0,,
1031-399.0-150.0,3,0,0.0,183.33,american express,credit
10310-555.0-150.0,2,0,0.0,117.0,visa,debit
10311-555.0-150.0,26,0,0.0,198.36,visa,debit
10312-555.0-147.0,2,0,0.0,74.21,visa,credit
10313-258.0-150.0,336,0,0.0,105.19,visa,debit
10313-NA-NA,1,0,0.0,57.95,,
10314-555.0-150.0,5,0,0.0,62.37,visa,debit
10315-555.0-150.0,3,0,0.0,49.0,visa,credit
10316-555.0-150.0,2,0,0.0,97.0,mastercard,debit
10317-492.0-150.0,23,0,0.0,145.2,mastercard,debit
10318-555.0-150.0,1,0,0.0,150.0,visa,credit
10319-555.0-150.0,1,0,0.0,24.5,visa,debit
1032-555.0-150.0,1,0,0.0,130.5,mastercard,debit
10320-554.0-150.0,4,4,1.0,445.0,visa,credit
10321-555.0-150.0,20,0,0.0,136.6,american express,credit
10322-123.0-144.0,3,0,0.0,88.63,visa,credit
10323-321.0-150.0,4,0,0.0,73.49,visa,debit
10324-543.0-150.0,1,0,0.0,34.0,mastercard,debit
10325-321.0-150.0,5,0,0.0,81.3,visa,debit
10326-310.0-150.0,1,0,0.0,25.0,mastercard,debit
10327-240.0-150.0,2,0,0.0,1141.16,visa,credit
10328-554.0-150.0,1,0,0.0,50.0,visa,debit
1033-390.0-150.0,3,0,0.0,147.97,mastercard,debit
10330-481.0-150.0,6,0,0.0,121.0,mastercard,credit
10331-NA-150.0,1,0,0.0,77.0,visa,credit
10332-555.0-150.0,23,0,0.0,114.25,visa,debit
10333-321.0-150.0,3,0,0.0,62.33,visa,debit
10334-555.0-150.0,15,0,0.0,192.53,visa,debit
10337-543.0-150.0,3,0,0.0,67.0,mastercard,debit
10338-NA-150.0,7,0,0.0,324.04,visa,credit
10339-555.0-150.0,2,0,0.0,120.97,visa,debit
1034-555.0-150.0,5,0,0.0,125.97,visa,credit
10340-228.0-106.0,42,6,0.142857,67.87,visa,credit
10341-555.0-150.0,1,0,0.0,150.0,visa,credit
10342-299.0-150.0,5,0,0.0,851.98,visa,debit
10344-353.0-150.0,3,0,0.0,352.32,mastercard,credit
10345-399.0-150.0,5,0,0.0,340.0,american express,credit
10346-399.0-150.0,26,0,0.0,118.27,american express,credit
10347-369.0-150.0,1,0,0.0,335.0,mastercard,debit
10348-553.0-150.0,1,0,0.0,117.0,visa,debit
10349-555.0-150.0,66,0,0.0,95.46,visa,debit
1035-308.0-150.0,1,0,0.0,134.95,visa,debit
10350-161.0-150.0,43,0,0.0,142.8,visa,debit
10351-555.0-150.0,3,0,0.0,48.47,visa,debit
10353-399.0-150.0,7,0,0.0,146.43,american express,credit
10354-321.0-150.0,1,0,0.0,73.97,visa,debit
10355-122.0-150.0,2,0,0.0,207.48,mastercard,debit
10356-399.0-150.0,3,0,0.0,150.0,american express,credit
10357-481.0-150.0,1,0,0.0,47.95,visa,credit
10358-399.0-150.0,3,0,0.0,108.33,american express,credit
10359-555.0-144.0,2,0,0.0,25.94,mastercard,credit
1036-527.0-150.0,8,0,0.0,122.25,visa,debit
10360-583.0-150.0,22,1,0.045455,184.55,visa,credit
10361-514.0-150.0,11,2,0.181818,158.26,mastercard,credit
10362-185.0-150.0,1,0,0.0,47.95,visa,debit
10363-543.0-150.0,2,0,0.0,192.5,mastercard,debit
10364-543.0-150.0,1,0,0.0,209.95,mastercard,debit
10365-555.0-150.0,8,0,0.0,116.18,visa,debit
10366-555.0-153.0,1,0,0.0,50.0,mastercard,debit
10367-390.0-150.0,1,0,0.0,67.95,mastercard,debit
10368-555.0-185.0,12,1,0.083333,34.19,mastercard,debit
10369-176.0-185.0,162,55,0.339506,45.48,mastercard,credit
1037-520.0-150.0,1,0,0.0,100.0,american express,credit
10370-404.0-150.0,72,4,0.055556,96.88,visa,credit
10370-555.0-150.0,32,0,0.0,195.56,visa,credit
10370-NA-143.0,6,0,0.0,240.94,visa,credit
10370-NA-NA,1,0,0.0,249.85,,
10371-555.0-150.0,1,0,0.0,50.0,visa,credit
10372-236.0-150.0,11,0,0.0,94.81,visa,credit
10373-310.0-150.0,4,0,0.0,302.38,mastercard,debit
10374-253.0-150.0,7,0,0.0,156.14,mastercard,debit
10376-555.0-134.0,1,0,0.0,9.43,visa,credit
10377-555.0-150.0,16,0,0.0,88.9,visa,credit
10378-555.0-150.0,1,0,0.0,554.0,visa,credit
10379-207.0-150.0,5,0,0.0,115.0,visa,credit
1038-111.0-150.0,1,0,0.0,200.0,visa,credit
10380-NA-226.0,2,0,0.0,133.95,visa,debit
10383-555.0-119.0,1,0,0.0,23.36,mastercard,credit
10385-399.0-150.0,8,0,0.0,83.12,american express,credit
10389-527.0-150.0,13,0,0.0,73.81,visa,debit
1039-391.0-150.0,527,4,0.00759,96.04,visa,debit
1039-NA-NA,3,0,0.0,28.98,,
10390-555.0-100.0,2,0,0.0,23.59,visa,credit
10391-555.0-150.0,26,0,0.0,143.37,visa,debit
10392-480.0-150.0,1,0,0.0,964.95,mastercard,debit
10393-399.0-150.0,9,1,0.111111,202.78,american express,credit
10394-555.0-147.0,10,0,0.0,48.02,visa,credit
10395-480.0-150.0,1,0,0.0,279.95,mastercard,debit
10395-512.0-150.0,1,0,0.0,141.0,mastercard,debit
10396-555.0-150.0,1,0,0.0,25.95,visa,debit
10398-310.0-150.0,3,0,0.0,95.65,mastercard,debit
10399-555.0-150.0,15,0,0.0,106.43,visa,debit
1040-555.0-150.0,1,0,0.0,53.97,mastercard,debit
10400-555.0-150.0,23,0,0.0,138.44,visa,debit
10401-555.0-150.0,5,0,0.0,63.0,visa,debit
10405-555.0-150.0,22,0,0.0,94.7,visa,debit
10406-555.0-150.0,9,0,0.0,92.84,visa,debit
10407-369.0-150.0,7,0,0.0,85.72,mastercard,debit
10408-302.0-150.0,1,0,0.0,44.5,visa,debit
10409-111.0-150.0,75,0,0.0,128.72,visa,debit
1041-517.0-150.0,1,0,0.0,59.0,mastercard,debit
10410-555.0-150.0,2,0,0.0,49.5,visa,debit
10413-439.0-144.0,1,0,0.0,200.0,mastercard,credit
10414-368.0-102.0,25,0,0.0,21.45,mastercard,debit
10415-555.0-149.0,40,1,0.025,51.16,visa,credit
10416-555.0-150.0,2,0,0.0,139.75,visa,debit
10417-543.0-150.0,1,0,0.0,26.5,mastercard,debit
1042-532.0-150.0,10,0,0.0,88.32,mastercard,debit
10420-399.0-150.0,2,0,0.0,45.0,american express,credit
10422-369.0-150.0,3,0,0.0,131.3,mastercard,debit
10425-555.0-150.0,1,0,0.0,30.0,visa,debit
10427-360.0-150.0,2,0,0.0,150.0,mastercard,debit
10429-543.0-150.0,5,0,0.0,125.4,mastercard,debit
1043-399.0-150.0,6,2,0.333333,120.83,american express,credit
10430-NA-150.0,12,0,0.0,74.79,visa,debit
10431-369.0-150.0,7,0,0.0,114.77,mastercard,debit
10432-302.0-150.0,5,0,0.0,91.79,visa,debit
10433-580.0-106.0,2,0,0.0,53.37,visa,credit
10434-399.0-150.0,1,0,0.0,100.0,american express,credit
10435-481.0-150.0,14,0,0.0,778.95,mastercard,credit
10436-390.0-150.0,4,0,0.0,63.5,mastercard,debit
10437-555.0-150.0,12,0,0.0,130.45,visa,credit
10439-399.0-150.0,29,0,0.0,204.31,american express,credit
10441-555.0-121.0,3,0,0.0,127.36,mastercard,credit
10444-225.0-150.0,12,0,0.0,242.04,mastercard,debit
10445-NA-150.0,8,0,0.0,41.5,visa,credit
10446-399.0-150.0,11,0,0.0,204.55,american express,credit
10447-490.0-150.0,1016,10,0.009843,108.28,visa,debit
10447-NA-NA,3,0,0.0,186.3,,
10448-555.0-150.0,1,0,0.0,2161.0,visa,debit
10449-555.0-190.0,1,0,0.0,54.57,visa,credit
1045-111.0-150.0,1,1,1.0,16.6,visa,credit
10450-555.0-150.0,14,0,0.0,71.67,visa,debit
10454-555.0-150.0,32,0,0.0,61.13,visa,debit
10454-NA-150.0,10,0,0.0,65.88,visa,debit
10456-555.0-150.0,5,0,0.0,81.79,visa,debit
10457-555.0-150.0,1,0,0.0,109.0,visa,debit
10458-553.0-150.0,16,0,0.0,644.56,visa,credit
10459-399.0-150.0,9,0,0.0,105.56,american express,credit
1046-127.0-150.0,2,0,0.0,59.0,mastercard,debit
10460-390.0-150.0,10,0,0.0,89.16,mastercard,debit
10461-543.0-150.0,13,0,0.0,96.89,mastercard,debit
10462-321.0-150.0,33,0,0.0,120.77,visa,debit
10464-399.0-150.0,1,0,0.0,300.0,american express,credit
10465-555.0-150.0,1,0,0.0,75.0,visa,credit
10466-555.0-150.0,2,0,0.0,160.99,visa,debit
10467-NA-150.0,1,0,0.0,108.95,visa,credit
10468-543.0-150.0,3,0,0.0,50.33,mastercard,debit
10469-553.0-150.0,2,0,0.0,59.0,discover,credit
1047-560.0-150.0,22,4,0.181818,421.18,visa,debit
10470-369.0-150.0,7,0,0.0,117.26,mastercard,debit
10471-144.0-150.0,191,2,0.010471,70.05,mastercard,debit
10472-127.0-150.0,1,0,0.0,100.0,mastercard,debit
10473-555.0-150.0,1,0,0.0,554.0,visa,debit
10474-390.0-150.0,6,0,0.0,149.62,mastercard,debit
10475-555.0-150.0,3,0,0.0,75.33,mastercard,credit
10476-298.0-150.0,97,2,0.020619,295.86,visa,credit
10476-404.0-150.0,89,1,0.011236,69.49,visa,credit
10476-NA-143.0,40,2,0.05,367.06,visa,credit
10476-NA-150.0,1,0,0.0,97.0,visa,credit
10477-399.0-150.0,1,0,0.0,250.0,american express,credit
10478-567.0-150.0,6,0,0.0,87.33,mastercard,debit
1048-555.0-163.0,6,0,0.0,73.0,mastercard,credit
10480-555.0-150.0,15,0,0.0,67.64,mastercard,debit
10482-555.0-150.0,2,0,0.0,39.0,visa,debit
10484-555.0-141.0,2,0,0.0,100.0,mastercard,debit
10485-543.0-150.0,4,0,0.0,338.88,mastercard,debit
10486-514.0-150.0,2504,141,0.05631,240.77,mastercard,credit
10486-NA-NA,1,0,0.0,655.38,,
10487-480.0-150.0,3,3,1.0,212.67,mastercard,credit
10487-512.0-150.0,2,1,0.5,312.5,mastercard,credit
10488-122.0-150.0,17,0,0.0,86.14,mastercard,debit
10489-199.0-150.0,5,0,0.0,167.2,mastercard,debit
10489-445.0-150.0,20,0,0.0,193.11,mastercard,debit
1049-555.0-150.0,5,0,0.0,92.97,visa,debit
10490-555.0-210.0,4,0,0.0,44.56,mastercard,debit
